title,original_title,year,rating,genres,country,url,director
Зеленая миля,The Green Mile,1999,8.9,"драма, детектив, криминал, фэнтези",США,https://kino.mail.ru/cinema/movies/624334_zelenaja_milja/,
Побег из Шоушенка,The Shawshank Redemption,1994,8.8,"драма, криминал",США,https://kino.mail.ru/cinema/movies/628227_pobeg_iz_shoushenka/,
Иван Васильевич меняет профессию,,1973,8.6,"комедия, приключения, семейный, фантастика",СССР,https://kino.mail.ru/cinema/movies/623582_ivan_vasilevich_menjaet_professiju/,
Бриллиантовая рука,,1968,8.6,"комедия, криминал, приключения, семейный",СССР,https://kino.mail.ru/cinema/movies/623580_brilliantovaja_ruka/,
Операция «Ы» и другие приключения Шурика,,1965,8.6,комедия,СССР,https://kino.mail.ru/cinema/movies/623579_operacija_y_i_drugie_prikljuchenija_shurika/,
В бой идут одни «старики»,,1973,8.6,"драма, комедия, военный",СССР,https://kino.mail.ru/cinema/movies/576973_v_boj_idut_odni_stariki/,
Форрест Гамп,Forrest Gump,1994,8.6,"драма, мелодрама, комедия, военный, исторический",США,https://kino.mail.ru/cinema/movies/623788_forrest_gamp/,
Джентльмены удачи,,1971,8.5,"драма, комедия, детектив, криминал",СССР,https://kino.mail.ru/cinema/movies/646754_dzhentlmeny_udachi/,
А зори здесь тихие,,1972,8.5,"драма, военный, исторический",СССР,https://kino.mail.ru/cinema/movies/631779_a_zori_zdes_tihie/,
Они сражались за Родину,,1975,8.5,"драма, военный, исторический",СССР,https://kino.mail.ru/cinema/movies/345948_oni_srazhalis_za_rodinu/,
Офицеры,,1971,8.5,"драма, мелодрама, военный",СССР,https://kino.mail.ru/cinema/movies/517554_oficery/,
"Кавказская пленница, или Новые приключения Шурика",,1966,8.4,"мелодрама, комедия, музыкальный, приключения, семейный",СССР,https://kino.mail.ru/cinema/movies/623578_kavkazskaja_plennica_ili_novye_prikljuchenija_shurika/,
1+1,Intouchables,2011,8.4,"драма, комедия, биография",Франция,https://kino.mail.ru/cinema/movies/709388_1_1/,
Москва слезам не верит,,1979,8.4,"драма, мелодрама, комедия",СССР,https://kino.mail.ru/cinema/movies/517557_moskva_slezam_ne_verit/,
Список Шиндлера,Schindler's List,1993,8.4,"драма, биография, исторический",США,https://kino.mail.ru/cinema/movies/604347_spisok_shindlera/,
Служебный роман,,1977,8.3,"мелодрама, комедия",СССР,https://kino.mail.ru/cinema/movies/647830_sluzhebnyj_roman/,
Любовь и голуби,,1984,8.3,"мелодрама, комедия",СССР,https://kino.mail.ru/cinema/movies/515976_ljubov_i_golubi/,
Леон,Leon,1994,8.3,"драма, триллер, криминал",Франция,https://kino.mail.ru/cinema/movies/585681_leon/,
Гладиатор,Gladiator,Великобритания,8.3,"2000, драма, боевик",США,https://kino.mail.ru/cinema/movies/624202_gladiator/,
Достучаться до небес,Knockin' on Heaven's Door,1997,8.3,"драма, криминал",Германия,https://kino.mail.ru/cinema/movies/487910_dostuchatsja_do_nebes/,
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,,1981,8.3,"детектив, криминал",СССР,https://kino.mail.ru/cinema/movies/647527_sherlok_holms_i_doktor_vatson_sobaka_baskervilej/,
Король Лев,The Lion King,1994,8.3,"драма, мультфильмы, мюзикл, приключения, семейный",США,https://kino.mail.ru/cinema/movies/626753_korol_lev/,
Крестный отец,The Godfather,1972,8.3,"драма, криминал",США,https://kino.mail.ru/cinema/movies/605306_krestnyj_otec/,
Назад в будущее,Back to the Future,1985,8.3,"комедия, приключения, фантастика",США,https://kino.mail.ru/cinema/movies/624485_nazad_v_buduschee/,
Шерлок Холмс и доктор Ватсон: Знакомство,,1979,8.3,"детектив, криминал",СССР,https://kino.mail.ru/cinema/movies/647666_sherlok_holms_i_doktor_vatson_znakomstvo/,
Шерлок Холмс и доктор Ватсон: Король шантажа,,1980,8.2,детектив,СССР,https://kino.mail.ru/cinema/movies/648823_sherlok_holms_i_doktor_vatson_korol_shantazha/,
Девчата,,1961,8.2,комедия,СССР,https://kino.mail.ru/cinema/movies/597348_devchata/,
Судьба человека,,1959,8.2,"драма, военный",СССР,https://kino.mail.ru/cinema/movies/476010_sudba_cheloveka/,
Хатико: Самый верный друг,Hachi: A Dog's Tale,Великобритания,8.2,"2009, драма, семейный",США,https://kino.mail.ru/cinema/movies/507516_hatiko_samyj_vernyj_drug/,
Начало,Inception,Великобритания,8.2,"2010, триллер, боевик, детектив, приключения, фантастика",США,https://kino.mail.ru/cinema/movies/586450_nachalo/,
Собачье сердце,,1988,8.2,"драма, комедия, фантастика",СССР,https://kino.mail.ru/cinema/movies/624839_sobache_serdce/,
Привидение,Ghost,1990,8.2,"драма, мелодрама, триллер, фэнтези",США,https://kino.mail.ru/cinema/movies/624416_prividenie/,
Игры разума,A Beautiful Mind,2001,8.2,"драма, биография",США,https://kino.mail.ru/cinema/movies/491481_igry_razuma/,
Криминальное чтиво,Pulp Fiction,1994,8.2,"комедия, триллер, криминал",США,https://kino.mail.ru/cinema/movies/438972_kriminalnoe_chtivo/,
Бойцовский клуб,Fight Club,Германия,8.2,"1999, драма, триллер, криминал",США,https://kino.mail.ru/cinema/movies/487906_boitsovskii_klub/,
ВАЛЛ·И,WALL·E,2008,8.2,"мультфильмы, приключения, семейный, фантастика",США,https://kino.mail.ru/cinema/movies/625924_wall_e/,
Остров проклятых,Shutter Island,2010,8.2,"драма, триллер, детектив",США,https://kino.mail.ru/cinema/movies/532397_ostrov_prokljatyh/,
"Поймай меня, если сможешь",Catch Me If You Can,Канада,8.2,"2002, драма, комедия, биография, криминал",США,https://kino.mail.ru/cinema/movies/626615_pojmaj_menja_esli_smozhesh/,
Молчание ягнят,The Silence of the Lambs,1990,8.2,"триллер, детектив",США,https://kino.mail.ru/cinema/movies/630272_molchanie_jagnjat/,
Дневник памяти,The Notebook,2004,8.2,"драма, мелодрама",США,https://kino.mail.ru/cinema/movies/622923_dnevnik_pamjati/,
Храброе сердце,Braveheart,1995,8.2,"драма, биография, военный, исторический",США,https://kino.mail.ru/cinema/movies/443931_hrabroe_serdce/,
Шерлок Холмс и доктор Ватсон: Смертельная схватка,,1980,8.2,"детектив, криминал",СССР,https://kino.mail.ru/cinema/movies/647833_sherlok_holms_i_doktor_vatson_smertelnaja_shvatka/,
Престиж,The Prestige,Великобритания,8.2,"2006, драма, триллер, детектив",США,https://kino.mail.ru/cinema/movies/349514_prestizh/,
Пролетая над гнездом кукушки,One Flew Over the Cuckoo's Nest,1975,8.2,драма,США,https://kino.mail.ru/cinema/movies/425525_proletaja_nad_gnezdom_kukushki/,
Человек дождя,Rain Man,1988,8.2,драма,США,https://kino.mail.ru/cinema/movies/441418_chelovek_dozhdja/,
Назад в будущее 2,Back to the Future Part II,1989,8.2,"комедия, боевик, приключения, семейный, фантастика",США,https://kino.mail.ru/cinema/movies/630472_nazad_v_buduschee_2/,
Отступники,The Departed,Гонконг,8.2,"2006, драма, триллер, криминал",США,https://kino.mail.ru/cinema/movies/624504_otstupniki/,
Игра,The Game,1997,8.2,"драма, триллер, детектив, приключения",США,https://kino.mail.ru/cinema/movies/624820_igra/,
Унесенные призраками,Sen to Chihiro no kamikakushi,2001,8.2,"аниме, мультфильмы, приключения, семейный, фэнтези",Япония,https://kino.mail.ru/cinema/movies/485977_unesennye_prizrakami/,
Большой куш,Snatch.,Великобритания,8.2,"2000, комедия, боевик, криминал",США,https://kino.mail.ru/cinema/movies/645032_bolshoj_kush/,
Зеленая миля,The Green Mile,1999,8.9,"драма, детектив, криминал, фэнтези",США,https://kino.mail.ru/cinema/movies/624334_zelenaja_milja/,
Побег из Шоушенка,The Shawshank Redemption,1994,8.8,"драма, криминал",США,https://kino.mail.ru/cinema/movies/628227_pobeg_iz_shoushenka/,
Иван Васильевич меняет профессию,,1973,8.6,"комедия, приключения, семейный, фантастика",СССР,https://kino.mail.ru/cinema/movies/623582_ivan_vasilevich_menjaet_professiju/,
Бриллиантовая рука,,1968,8.6,"комедия, криминал, приключения, семейный",СССР,https://kino.mail.ru/cinema/movies/623580_brilliantovaja_ruka/,
Операция «Ы» и другие приключения Шурика,,1965,8.6,комедия,СССР,https://kino.mail.ru/cinema/movies/623579_operacija_y_i_drugie_prikljuchenija_shurika/,
В бой идут одни «старики»,,1973,8.6,"драма, комедия, военный",СССР,https://kino.mail.ru/cinema/movies/576973_v_boj_idut_odni_stariki/,
Форрест Гамп,Forrest Gump,1994,8.6,"драма, мелодрама, комедия, военный, исторический",США,https://kino.mail.ru/cinema/movies/623788_forrest_gamp/,
Джентльмены удачи,,1971,8.5,"драма, комедия, детектив, криминал",СССР,https://kino.mail.ru/cinema/movies/646754_dzhentlmeny_udachi/,
А зори здесь тихие,,1972,8.5,"драма, военный, исторический",СССР,https://kino.mail.ru/cinema/movies/631779_a_zori_zdes_tihie/,
Они сражались за Родину,,1975,8.5,"драма, военный, исторический",СССР,https://kino.mail.ru/cinema/movies/345948_oni_srazhalis_za_rodinu/,
